biosample	sampleCategory	sampleName
E017	IMR90	LNG.IMR90
E002	ESC	ESC.WA7
E008	ESC	ESC.H9
E001	ESC	ESC.I3
E015	ESC	ESC.HUES6
E014	ESC	ESC.HUES48
E016	ESC	ESC.HUES64
E003	ESC	ESC.H1
E024	ESC	ESC.4STAR
E020	iPSC	IPSC.20B
E019	iPSC	IPSC.18
E018	iPSC	IPSC.15b
E021	iPSC	IPSC.DF.6.9
E022	iPSC	IPSC.DF.19.11
E007	ES-deriv	ESDR.H1.NEUR.PROG
E009	ES-deriv	ESDR.H9.NEUR.PROG
E010	ES-deriv	ESDR.H9.NEUR
E013	ES-deriv	ESDR.CD56.MESO
E012	ES-deriv	ESDR.CD56.ECTO
E011	ES-deriv	ESDR.CD184.ENDO
E004	ES-deriv	ESDR.H1.BMP4.MESO
E005	ES-deriv	ESDR.H1.BMP4.TROP
E006	ES-deriv	ESDR.H1.MSC
E062	Blood & T-cell	BLD.PER.MONUC.PC
E034	Blood & T-cell	BLD.CD3.PPC
E045	Blood & T-cell	BLD.CD4.CD25I.CD127.TMEMPC
E033	Blood & T-cell	BLD.CD3.CPC
E044	Blood & T-cell	BLD.CD4.CD25.CD127M.TREGPC
E043	Blood & T-cell	BLD.CD4.CD25M.TPC
E039	Blood & T-cell	BLD.CD4.CD25M.CD45RA.NPC
E041	Blood & T-cell	BLD.CD4.CD25M.IL17M.PL.TPC
E042	Blood & T-cell	BLD.CD4.CD25M.IL17P.PL.TPC
E040	Blood & T-cell	BLD.CD4.CD25M.CD45RO.MPC
E037	Blood & T-cell	BLD.CD4.MPC
E048	Blood & T-cell	BLD.CD8.MPC
E038	Blood & T-cell	BLD.CD4.NPC
E047	Blood & T-cell	BLD.CD8.NPC
E029	HSC & B-cell	BLD.CD14.PC
E031	HSC & B-cell	BLD.CD19.CPC
E035	HSC & B-cell	BLD.CD34.PC
E051	HSC & B-cell	BLD.MOB.CD34.PC.M
E050	HSC & B-cell	BLD.MOB.CD34.PC.F
E036	HSC & B-cell	BLD.CD34.CC
E032	HSC & B-cell	BLD.CD19.PPC
E046	HSC & B-cell	BLD.CD56.PC
E030	HSC & B-cell	BLD.CD15.PC
E026	Mesench	STRM.MRW.MSC
E049	Mesench	STRM.CHON.MRW.DR.MSC
E025	Mesench	FAT.ADIP.DR.MSC
E023	Mesench	FAT.MSC.DR.ADIP
E052	Myosat	MUS.SAT
E055	Epithelial	SKIN.PEN.FRSK.FIB.01
E056	Epithelial	SKIN.PEN.FRSK.FIB.02
E059	Epithelial	SKIN.PEN.FRSK.MEL.01
E061	Epithelial	SKIN.PEN.FRSK.MEL.03
E057	Epithelial	SKIN.PEN.FRSK.KER.02
E058	Epithelial	SKIN.PEN.FRSK.KER.03
E028	Epithelial	BRST.HMEC.35
E027	Epithelial	BRST.MYO
E054	Neurosph	BRN.GANGEM.DR.NRSPHR
E053	Neurosph	BRN.CRTX.DR.NRSPHR
E112	Thymus	THYM
E093	Thymus	THYM.FET
E071	Brain	BRN.HIPP.MID
E074	Brain	BRN.SUB.NIG
E068	Brain	BRN.ANT.CAUD
E069	Brain	BRN.CING.GYR
E072	Brain	BRN.INF.TMP
E067	Brain	BRN.ANG.GYR
E073	Brain	BRN.DL.PRFRNTL.CRTX
E070	Brain	BRN.GRM.MTRX
E082	Brain	BRN.FET.F
E081	Brain	BRN.FET.M
E063	Adipose	FAT.ADIP.NUC
E100	Muscle	MUS.PSOAS
E108	Muscle	MUS.SKLT.F
E107	Muscle	MUS.SKLT.M
E089	Muscle	MUS.TRNK.FET
E090	Muscle	MUS.LEG.FET
E083	Heart	HRT.FET
E104	Heart	HRT.ATR.R
E095	Heart	HRT.VENT.L
E105	Heart	HRT.VNT.R
E065	Heart	VAS.AOR
E078	Sm. Muscle	GI.DUO.SM.MUS
E076	Sm. Muscle	GI.CLN.SM.MUS
E103	Sm. Muscle	GI.RECT.SM.MUS
E111	Sm. Muscle	GI.STMC.MUS
E092	Digestive	GI.STMC.FET
E085	Digestive	GI.S.INT.FET
E084	Digestive	GI.L.INT.FET
E109	Digestive	GI.S.INT
E106	Digestive	GI.CLN.SIG
E075	Digestive	GI.CLN.MUC
E101	Digestive	GI.RECT.MUC.29
E102	Digestive	GI.RECT.MUC.31
E110	Digestive	GI.STMC.MUC
E077	Digestive	GI.DUO.MUC
E079	Digestive	GI.ESO
E094	Digestive	GI.STMC.GAST
E099	Other	PLCNT.AMN
E086	Other	KID.FET
E088	Other	LNG.FET
E097	Other	OVRY
E087	Other	PANC.ISLT
E080	Other	ADRL.GLND.FET
E091	Other	PLCNT.FET
E066	Other	LIV.ADLT
E098	Other	PANC
E096	Other	LNG
E113	Other	SPLN
E114	ENCODE2012	LNG.A549.ETOH002.CNCR
E115	ENCODE2012	BLD.DND41.CNCR
E116	ENCODE2012	BLD.GM12878
E117	ENCODE2012	CRVX.HELAS3.CNCR
E118	ENCODE2012	LIV.HEPG2.CNCR
E119	ENCODE2012	BRST.HMEC
E120	ENCODE2012	MUS.HSMM
E121	ENCODE2012	MUS.HSMMT
E122	ENCODE2012	VAS.HUVEC
E123	ENCODE2012	BLD.K562.CNCR
E124	ENCODE2012	BLD.CD14.MONO
E125	ENCODE2012	BRN.NHA
E126	ENCODE2012	SKIN.NHDFAD
E127	ENCODE2012	SKIN.NHEK
E128	ENCODE2012	LNG.NHLF
E129	ENCODE2012	BONE.OSTEO